date,link,price,title
Dec 23,https://newyork.craigslist.org/que/reb/d/atlantic-beach-fully-renovated-apts/7415127251.html,"$1,650",Fully Renovated Apts
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-luxury-townhouse-water-view/7415127124.html,"$2,800",Luxury Townhouse *** Water View
Dec 23,https://newyork.craigslist.org/que/reb/d/far-rockaway-studio-apt-with-water-view/7416305265.html,"$1,231",Studio Apt With Water View
Dec 23,https://newyork.craigslist.org/brk/reo/d/lebanon-one-of-kind-building-kitchens/7421294909.html,"$650,000","One of a Kind BUILDING - 4 Kitchens, 9 Bedrooms"
Dec 23,https://newyork.craigslist.org/brk/reo/d/brooklyn-fully-renovated-detached/7424237433.html,$0,~FULLY RENOVATED DETACHED 1-FAMILY HOUSE with SPACIOUS ROOMS 3BR~ 4BA~
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-to-350k-helping-out-of/7424250687.html,"$325,000",TO $350K-HELPING OUT OF TOWNERS FIND PERFECT CO-OPS
Dec 23,https://newyork.craigslist.org/brk/reo/d/brooklyn-store-1500-sqft-for-rent-in/7424249808.html,"$5,500",store 1500 sqft for rent in carrol garden
Dec 23,https://newyork.craigslist.org/lgi/reb/d/port-saint-lucie-fabulous-for-sale-port/7423040109.html,"$419,900","FABULOUS 4/2/2 FOR SALE, PORT ST LUCIE"
Dec 23,https://newyork.craigslist.org/jsy/reb/d/port-saint-lucie-fabulous-for-sale-port/7423043705.html,"$419,900","FABULOUS 4/2/2 FOR SALE, PORT ST LUCIE, FL"
Dec 23,https://newyork.craigslist.org/wch/reb/d/hastings-on-hudson-hastings-on-hudson/7417667409.html,"$190,000",--| Hastings On  Hudson | 1BR  1BA | Co-op
Dec 23,https://newyork.craigslist.org/mnh/reb/d/bronx-riverdale-2br-2ba-condo/7417673026.html,"$579,000",----- RIVERDALE - 2BR 2BA - CONDO
Dec 23,https://newyork.craigslist.org/mnh/reb/d/bronx-riverdale-2br-2ba-condo/7417673252.html,"$579,000",----- RIVERDALE - 2BR 2BA - CONDO
Dec 23,https://newyork.craigslist.org/mnh/reb/d/hastings-on-hudson-bed-room-bath-700-sf/7417674011.html,"$190,000",----- | 1 Bed Room 1 Bath | 700 SF |
Dec 23,https://newyork.craigslist.org/mnh/reb/d/scarsdale-moving-to-westchester-county/7417674195.html,$0,----- MOVING TO WESTCHESTER COUNTY?
Dec 23,https://newyork.craigslist.org/brx/reb/d/bronx-riverdale-2br-2ba-condo/7417674543.html,"$579,000",----- RIVERDALE - 2BR 2BA - CONDO
Dec 23,https://newyork.craigslist.org/que/reb/d/yonkers-hastings-on-hudson-bed-room/7417081323.html,"$190,000",-----  HASTINGS-ON-HUDSON | 1 Bed Room 1 Bath |
Dec 23,https://newyork.craigslist.org/wch/reb/d/hastings-on-hudson-hastings-on-hudson/7417081212.html,"$190,000",--| Hastings On  Hudson | 1BR  1BA | Co-op
Dec 23,https://newyork.craigslist.org/mnh/reb/d/bronx-riverdale-2br-2ba-condo/7424245541.html,"$579,000",----- RIVERDALE - 2BR 2BA - CONDO
Dec 23,https://newyork.craigslist.org/wch/reb/d/hastings-on-hudson-hastings-on-hudson/7417081074.html,"$190,000",--| Hastings On  Hudson | 1BR  1BA | Co-op
Dec 23,https://newyork.craigslist.org/mnh/reb/d/bronx-riverdale-2br-2ba-condo/7417080993.html,"$579,000",----- RIVERDALE - 2BR 2BA - CONDO
Dec 23,https://newyork.craigslist.org/mnh/reb/d/scarsdale-moving-to-westchester-county/7417081145.html,$0,----- MOVING TO WESTCHESTER COUNTY?
Dec 23,https://newyork.craigslist.org/brk/reo/d/brooklyn-clinton-hill-studio-1900-month/7424244874.html,"$1,900",Clinton Hill studio $1900 month
Dec 23,https://newyork.craigslist.org/brk/reo/d/brooklyn-clinton-hill-studio-1900-month/7424244692.html,"$1,900",Clinton Hill studio $1900 month
Dec 23,https://newyork.craigslist.org/fct/reo/d/stamford-7-bedroom-house-for-rent/7424244627.html,"$5,650",6 /7 bedroom house for rent
Dec 23,https://newyork.craigslist.org/fct/reo/d/stamford-condominium-for-sale-attention/7421438926.html,"$250,000","Condominium for sale, attention investors"
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-commercial-building-for/7418443838.html,"$16,000,000",Commercial Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-condo-bedrooms-baths/7412482263.html,"$2,380,000","Condo 2 Bedrooms 2 Baths,  Elevator, Hardwood Floors"
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-condo-office-for/7413972196.html,"$2,775,000",New Building Condo Office For Sale
Dec 23,https://newyork.craigslist.org/brk/reb/d/new-condo-building-for-sale/7414912769.html,"$465,000",New Condo Building For Sale
Dec 23,https://newyork.craigslist.org/brk/reb/d/new-condo-building-for-sale/7413972146.html,"$680,000",New Condo Building For Sale
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7413969082.html,"$1,250",large studio apt elevator building 3 ave & 100 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7413967108.html,"$1,250",large studio apt elevator building 3 ave & 100 st walk to all
Dec 23,https://newyork.craigslist.org/brx/reo/d/bronx-br-basement-apt-express-train/7424235172.html,"$1,000",1 BR Basement Apt- 6 Express train - cheap price for handyman
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-1br-apt-elevator/7415365023.html,"$1,450",large 1br apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-1br-apt-elevator/7412747446.html,"$1,450",large 1br apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-br-apt-elevator-building/7412750181.html,"$1,300",nice 1 br apt elevator building 18 ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-br-apt-elevator-building/7417080077.html,"$1,300",nice 1 br apt elevator building 18  ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-story-building-for-sale/7412482363.html,"$3,600,000",4 Story Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-story-building-for-sale/7413154031.html,"$3,600,000",4 Story Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-commercial-building-for/7419328724.html,"$16,000,000",Commercial Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-office-condo/7413154055.html,"$1,420,000","New Building Office Condo,  Elevator, Natural Lights"
Dec 23,https://newyork.craigslist.org/mnh/reo/d/new-york-newly-renovated-studio/7413153960.html,"$2,100","Newly Renovated Studio, Hardwood Floors, Elevator"
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-new-building-condo-for-sale/7413154006.html,"$465,000",New Building Condo For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-story-building-for-sale/7413972057.html,"$3,600,000",4 Story Building For Sale
Dec 23,https://newyork.craigslist.org/wch/reo/d/ossining-tired-of-being-landlord/7424226886.html,$0,TIRED OF BEING A LANDLORD
Dec 23,https://newyork.craigslist.org/mnh/reo/d/new-york-newly-renovated-studio/7417544044.html,"$2,100","Newly Renovated Studio, Hardwood Floors, Elevator"
Dec 23,https://newyork.craigslist.org/mnh/reo/d/new-york-newly-renovated-studio/7413971978.html,"$2,100","Newly Renovated Studio, Hardwood Floors, Elevator"
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-office-condo/7412482332.html,"$1,880,000","New Building Office Condo,  Elevator, Natural Lights"
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-story-building-for-sale/7414912691.html,"$3,600,000",4 Story Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-condo-bedrooms-baths/7414912388.html,"$2,380,000","Condo 2 Bedrooms 2 Baths,  Elevator, Hardwood Floors"
Dec 23,https://newyork.craigslist.org/brk/reb/d/new-condo-building-for-sale/7416684386.html,"$552,000",New Condo Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-commercial-building-for/7421834443.html,"$16,000,000",Commercial Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-condo-office-for/7413153746.html,"$2,775,000",New Building Condo Office For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-condo-bedrooms-baths/7416684274.html,"$2,380,000","Condo 2 Bedrooms 2 Baths,  Elevator, Hardwood Floors"
Dec 23,https://newyork.craigslist.org/brk/reb/d/new-condo-building-for-sale/7415811428.html,"$680,000",New Condo Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-story-building-for-sale/7415811398.html,"$3,600,000",4 Story Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-condo-office-for/7415811537.html,"$2,775,000",New Building Condo Office For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-condo-office-for/7414912735.html,"$2,775,000",New Building Condo Office For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-condo-office-for/7412482281.html,"$2,775,000",New Building Condo Office For Sale
Dec 23,https://newyork.craigslist.org/brk/reb/d/new-condo-building-for-sale/7417544076.html,"$465,000",New Condo Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-condo-office-for/7419328651.html,"$2,380,000",New Building Condo Office For Sale
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-city-condo-bedrooms-baths/7415811568.html,"$2,380,000","Condo 2 Bedrooms 2 Baths,  Elevator, Hardwood Floors"
Dec 23,https://newyork.craigslist.org/brk/reb/d/new-condo-building-for-sale/7412482312.html,"$552,000",New Condo Building For Sale
Dec 23,https://newyork.craigslist.org/mnh/reo/d/new-york-newly-renovated-studio/7415811502.html,"$2,100","Newly Renovated Studio, Hardwood Floors, Elevator"
Dec 23,https://newyork.craigslist.org/mnh/reb/d/new-york-new-building-office-condo/7413972098.html,"$1,420,000","New Building Office Condo,  Elevator, Natural Lights"
Dec 23,https://newyork.craigslist.org/mnh/reo/d/new-york-newly-renovated-studio/7414912658.html,"$2,100","Newly Renovated Studio, Hardwood Floors, Elevator"
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-br-apt-elevator-building/7420560405.html,"$1,300",nice 1 br apt elevator building 18 ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-br-apt-elevator-building/7415364936.html,"$1,300",nice 1 br apt elevator building 18 ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7412749787.html,"$1,250",large studio apt elevator building 3 ave & 100 st walk to all
Dec 23,https://newyork.craigslist.org/mnh/reo/d/east-hanover-bed-and-bath-beautifully/7422001417.html,"$2,700",2 bed and 2 bath beautifully updated condo for rent
Dec 23,https://newyork.craigslist.org/mnh/reo/d/east-hanover-bed-and-bath-beautifully/7422002843.html,"$430,000",2 bed and 2 bath beautifully updated condo for sale
Dec 23,https://newyork.craigslist.org/mnh/reo/d/newark-completely-renovated-bed-and/7422001715.html,"$430,000",Completely renovated 2 bed and 2 bath with huge basement
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7415367582.html,"$1,250",large studio  apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-1br-apt-elevator/7417077898.html,"$1,450",large 1br apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7417080022.html,"$1,300",nice  1br apt elevator building walk to all (( 4 ave & 101 st ))
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7420555718.html,"$1,300",nice  1br apt elevator building walk to all (( 4 ave & 101 st ))
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-studio-apt-elevator/7420560148.html,"$1,100",nice studio apt elevator building walk to emmons
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-studio-apt-elevator/7420555961.html,"$1,100",nice studio apt elevator building walk to emmons
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7420560199.html,"$1,250",large studio  apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-1br-apt-elevator/7420560092.html,"$1,450",large 1br apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7420560273.html,"$1,375",nice 1br apt elevator building 18 ave &65 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7420276162.html,"$1,300",nice 1br apt elevator building 18 ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7413972118.html,"$1,300",nice 1br apt elevator building 18 ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7420268680.html,"$1,300",nice 1br apt elevator building 18 ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7412749835.html,"$1,300",nice 1br apt elevator building 18 ave &86 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-studio-apt-elevator/7420562245.html,"$1,100",nice studio apt elevator building walk to emmons
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7420562318.html,"$1,250",large studio  apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-studio-apt-walk-up/7420562373.html,"$1,290",nice studio apt walk up buiding walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7420562181.html,"$1,300",nice  1br apt elevator building walk to all (( 4 ave & 101 st ))
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7412747476.html,"$1,250",large studio apt elevator building 3 ave & 100 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7420276801.html,"$1,250",large studio apt elevator building 3 ave & 100 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-studio-apt-elevator/7420276503.html,"$1,100",nice studio apt elevator building walk to emmons
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-1br-apt-elevator-building/7420276345.html,"$1,300",nice  1br apt elevator building walk to all (( 4 ave & 101 st ))
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-studio-apt-walk-up/7420555923.html,"$1,290",nice studio apt walk up buiding walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-studio-apt-elevator/7420555762.html,"$1,250",large studio  apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-nice-studio-apt-elevator/7413967225.html,"$1,100",nice studio apt elevator building walk to emmons
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-large-1br-apt-elevator/7415375299.html,"$1,450",large 1br apt elevator building  4 ave & 101 st walk to all
Dec 23,https://newyork.craigslist.org/brk/reo/d/gouldsboro-investor-special-buy-hold/7419750194.html,"$110,000",INVESTOR SPECIAL  !!!BUY & HOLD  OPPORTUNITY!!!  TWO FAMILY DUPLEX
Dec 23,https://newyork.craigslist.org/brk/reb/d/brooklyn-prime-bensonhurst-retail-space/7413969175.html,"$4,500",Prime bensonhurst Retail Space (( 20 ave & 85 st ))
Dec 23,https://newyork.craigslist.org/brk/reo/d/gouldsboro-investor-special-buy-hold/7421866172.html,"$110,000",INVESTOR SPECIAL  !!!BUY & HOLD  OPPORTUNITY!!!  TWO FAMILY DUPLEX
Dec 23,https://newyork.craigslist.org/brk/reo/d/gouldsboro-investor-special-buy-hold/7421867609.html,"$110,000",INVESTOR SPECIAL  !!!BUY & HOLD  OPPORTUNITY!!!  TWO FAMILY DUPLEX
Dec 23,https://newyork.craigslist.org/brk/reo/d/gouldsboro-investor-special-buy-hold/7421867940.html,"$110,000",INVESTOR SPECIAL  !!!BUY & HOLD  OPPORTUNITY!!!  TWO FAMILY DUPLEX
Dec 23,https://newyork.craigslist.org/brk/reo/d/gouldsboro-investor-special-buy-hold/7419751163.html,"$110,000",INVESTOR SPECIAL  !!!BUY & HOLD  OPPORTUNITY!!!  TWO FAMILY DUPLEX
